trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.98}",25,0,-90.86343832403888,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
2,False,"{'a': 0.1, 'e': 0.9603999999999999}",25,0,-86.618425578133,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.1, 'e': 0.9411919999999999}",30,0,-74.40532423729545,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.1, 'e': 0.9223681599999999}",20,0,-6.422536612134945,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.1, 'e': 0.9039207967999999}",20,0,-142.25173426684665,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
6,False,"{'a': 0.1, 'e': 0.8858423808639999}",20,0,-104.91688309046975,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.8681255332467199}",20,0,-24.292500788667756,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.1, 'e': 0.8507630225817855}",20,0,-104.40172621585353,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.1, 'e': 0.8337477621301498}",25,0,-89.4458028787714,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.1, 'e': 0.8170728068875467}",25,0,-105.13488212341316,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.8007313507497958}",20,0,-158.67910555207573,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
12,False,"{'a': 0.1, 'e': 0.7847167237347998}",25,14,-51.174431652484614,"{0: 6, 1: 2, 2: 1, 3: 2, 4: 0}",1
13,False,"{'a': 0.1, 'e': 0.7690223892601038}",25,0,-69.60118564230565,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
14,False,"{'a': 0.1, 'e': 0.7536419414749017}",25,0,-82.19149991230294,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
15,False,"{'a': 0.1, 'e': 0.7385691026454038}",25,0,-124.75981229157225,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.1, 'e': 0.7237977205924956}",20,0,-34.60896248118264,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.1, 'e': 0.7093217661806457}",30,0,-26.138770584039673,"{0: 24, 1: 3, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.1, 'e': 0.6951353308570327}",25,0,-145.3003747017292,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.1, 'e': 0.6812326242398921}",30,0,-105.67539664370739,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.1, 'e': 0.6676079717550942}",20,0,-70.99624247324843,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
21,False,"{'a': 0.1, 'e': 0.6542558123199923}",20,0,-81.30787153577863,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
22,False,"{'a': 0.1, 'e': 0.6411706960735924}",20,7,-42.27727427571116,"{0: 9, 1: 1, 2: 1, 3: 2, 4: 0}",1
23,False,"{'a': 0.1, 'e': 0.6283472821521207}",25,0,-125.16542195660769,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
24,False,"{'a': 0.1, 'e': 0.6157803365090783}",20,0,-70.42503600395614,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
25,False,"{'a': 0.1, 'e': 0.6034647297788966}",30,0,-72.4480829579506,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
