trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-69.48883192495641,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.8008319157169,"{0: 9, 1: 0, 2: 7, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-236.09551317433815,"{0: 10, 1: 0, 2: 3, 3: 3, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.64384315951972,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-48.89889404660773,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,18,-68.36740012489902,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-19.42253547348885,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-158.5260942213773,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.87111163546186,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.79155010171465,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.01449110404853,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.85235100394864,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-229.93041442865808,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-70.83681818053066,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,18,-2.6038172306236262,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.36854060711872,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,0,-287.4914435707915,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 5}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.77303987196132,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,1,-77.11508969231326,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.0490651128277,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-152.0152089344836,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-220.21148585984278,"{0: 10, 1: 0, 2: 11, 3: 2, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-99.26059439110632,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-130.5027348648064,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-134.05680208077285,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-66.60325916452524,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-99.7942906513993,"{0: 19, 1: 2, 2: 6, 3: 3, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-100.72262891021637,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-97.65854720941857,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,11,-71.86811257831587,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 0}",1
